名称,类别,区域,板块,地址,房型,面积,总价,朝向
整租·星河湾 3室2厅 南/北,婺城区-婺城新区-星河湾/122.97㎡/南北/3室2厅2卫/中楼层（7层）,婺城区,婺城新区,星河湾,3室2厅2卫,122,1800,南北
整租·天山龙城C区 5室2厅 复式 南/北,金东区-金义都市新区-天山龙城C区/265.00㎡/南北/5室2厅3卫/低楼层（3层）,金东区,金义都市新区,天山龙城C区,5室2厅3卫,265,2600,南北
整租·和聚园 3室2厅 南/北,义乌市-北苑-和聚园/105.00㎡/南北/3室2厅1卫/高楼层（15层）,义乌市,北苑,和聚园,3室2厅1卫,105,4150,南北
整租·家和园 3室2厅 南/北,婺城区-秋滨工业区-家和园/98.00㎡/南北/3室2厅1卫/中楼层（7层）,婺城区,秋滨工业区,家和园,3室2厅1卫,98,2000,南北
整租·五爱新村C区 1室1厅 东南,义乌市-江东-五爱新村C区/50.00㎡/东南/1室1厅1卫/中楼层（4层）,义乌市,江东,五爱新村C区,1室1厅1卫,50,1800,东南
整租·申华大厦 1室1厅 南,婺城区-江南-申华大厦/38.00㎡/南/1室1厅1卫/高楼层（30层）,婺城区,江南,申华大厦,1室1厅1卫,38,2000,南
整租·童店二区 1室0厅 东南/南,义乌市-稠江-童店二区/35.00㎡/东南南/1室0厅1卫/中楼层（5层）,义乌市,稠江,童店二区,1室0厅1卫,35,1700,东南南
整租·兴中小区 1室0厅 南,义乌市-稠城-兴中小区/40.00㎡/南/1室0厅1卫/高楼层（3层）,义乌市,稠城,兴中小区,1室0厅1卫,40,1600,南
整租·望辰府沁园 3室2厅 南/北,义乌市-稠城-望辰府沁园/115.00㎡/南北/3室2厅2卫/中楼层（29层）,义乌市,稠城,望辰府沁园,3室2厅2卫,115,5416,南北
整租·长春七街 1室0厅 东南/南,义乌市-稠城-长春七街/35.00㎡/东南南/1室0厅1卫/高楼层（2层）,义乌市,稠城,长春七街,1室0厅1卫,35,1599,东南南
整租·宗塘一区 1室1厅 东南/南,义乌市-江东-宗塘一区/45.00㎡/东南南/1室1厅1卫/高楼层（4层）,义乌市,江东,宗塘一区,1室1厅1卫,45,1700,东南南
整租·赵宅2街 1室1厅 东南/南,义乌市-稠城-赵宅2街/40.00㎡/东南南/1室1厅1卫/中楼层（8层）,义乌市,稠城,赵宅2街,1室1厅1卫,40,2180,东南南
整租·稠州中路 1室0厅 东南/南,义乌市-稠城-稠州中路/35.00㎡/东南南/1室0厅1卫/中楼层（7层）,义乌市,稠城,稠州中路,1室0厅1卫,35,1480,东南南
整租·宾王商贸区 1室1厅 东南/南,义乌市-稠城-宾王商贸区/40.00㎡/东南南/1室1厅1卫/中楼层（5层）,义乌市,稠城,宾王商贸区,1室1厅1卫,40,2400,东南南
整租·尖峰郦园 2室2厅 南,婺城区-江北-尖峰郦园/100.00㎡/南/2室2厅1卫/低楼层（5层）,婺城区,江北,尖峰郦园,2室2厅1卫,100,2200,南
整租·福田二区 1室1厅 东南/南,义乌市-稠城-福田二区/40.00㎡/东南南/1室1厅1卫/中楼层（5层）,义乌市,稠城,福田二区,1室1厅1卫,40,2080,东南南
整租·宾王商贸区 1室1厅 东南/南,义乌市-稠城-宾王商贸区/40.00㎡/东南南/1室1厅1卫/中楼层（5层）,义乌市,稠城,宾王商贸区,1室1厅1卫,40,2400,东南南
整租·童店二区 1室0厅 东南/南,义乌市-稠江-童店二区/30.00㎡/东南南/1室0厅1卫/中楼层（5层）,义乌市,稠江,童店二区,1室0厅1卫,30,1250,东南南
整租·诚信二区 1室1厅 东南/南,义乌市-稠城-诚信二区/35.00㎡/东南南/1室1厅1卫/中楼层（4层）,义乌市,稠城,诚信二区,1室1厅1卫,35,1480,东南南
整租·稠山一区 1室0厅 东南/南,义乌市-北苑-稠山一区/30.00㎡/东南南/1室0厅1卫/中楼层（5层）,义乌市,北苑,稠山一区,1室0厅1卫,30,1100,东南南
整租·翰文府 2室2厅 西南,义乌市-北苑-翰文府/82.00㎡/西南/2室2厅1卫/高楼层（11层）,义乌市,北苑,翰文府,2室2厅1卫,82,3750,西南
整租·金都花园 3室2厅 南,婺城区-江南-金都花园/112.00㎡/南/3室2厅1卫/高楼层（7层）,婺城区,江南,金都花园,3室2厅1卫,112,2300,南
整租·长春五街 1室0厅 南,义乌市-稠城-长春五街/45.00㎡/南/1室0厅1卫/中楼层（5层）,义乌市,稠城,长春五街,1室0厅1卫,45,1600,南
整租·青口北区 1室1厅 东南/南,义乌市-江东-青口北区/50.00㎡/东南南/1室1厅1卫/高楼层（4层）,义乌市,江东,青口北区,1室1厅1卫,50,2000,东南南
整租·龙庭一品 2室1厅 南,金东区-金义都市新区-龙庭一品/88.00㎡/南/2室1厅1卫/中楼层（33层）,金东区,金义都市新区,龙庭一品,2室1厅1卫,88,600,南
整租·东方前城南区 3室2厅 南,婺城区-江北-东方前城南区/125.00㎡/南/3室2厅1卫/高楼层（12层）,婺城区,江北,东方前城南区,3室2厅1卫,125,2200,南
整租·梅湖新村 1室0厅 东南/南,义乌市-江东-梅湖新村/30.00㎡/东南南/1室0厅1卫/中楼层（4层）,义乌市,江东,梅湖新村,1室0厅1卫,30,1250,东南南
整租·通园小区 2室1厅 南,婺城区-江北-通园小区/63.00㎡/南/2室1厅1卫/高楼层（6层）,婺城区,江北,通园小区,2室1厅1卫,63,1300,南
整租·月亮湾 3室2厅 南/北,婺城区-江南-月亮湾/130.00㎡/南北/3室2厅2卫/低楼层（6层）,婺城区,江南,月亮湾,3室2厅2卫,130,2200,南北
整租·大塘下二区 1室0厅 东南/南,义乌市-义乌市-大塘下二区/35.00㎡/东南南/1室0厅1卫/中楼层（5层）,义乌市,义乌市,大塘下二区,1室0厅1卫,35,1400,东南南
整租·城西路 1室0厅 南/北,永康市-永康市-城西路/30.00㎡/南北/1室0厅1卫/高楼层（6层）,永康市,永康市,城西路,1室0厅1卫,30,850,南北
整租·中天公元诚品 3室2厅 南/北,金东区-金东区-中天公元诚品/89.00㎡/南北/3室2厅2卫/中楼层（17层）,金东区,金东区,中天公元诚品,3室2厅2卫,89,2000,南北
整租·丹溪二区 1室0厅 南,义乌市-北苑-丹溪二区/35.00㎡/南/1室0厅1卫/中楼层（5层）,义乌市,北苑,丹溪二区,1室0厅1卫,35,1200,南
整租·柳青七区 1室0厅 东南/南,义乌市-北苑-柳青七区/30.00㎡/东南南/1室0厅1卫/高楼层（5层）,义乌市,北苑,柳青七区,1室0厅1卫,30,1250,东南南
整租·拥军一区 1室0厅 东南/南,义乌市-北苑-拥军一区/30.00㎡/东南南/1室0厅1卫/中楼层（4层）,义乌市,北苑,拥军一区,1室0厅1卫,30,1100,东南南
整租·赵宅2街 2室1厅 东南/南,义乌市-稠城-赵宅2街/80.00㎡/东南南/2室1厅1卫/中楼层（8层）,义乌市,稠城,赵宅2街,2室1厅1卫,80,4280,东南南
整租·长春八街 1室1厅 东南/南,义乌市-稠城-长春八街/55.00㎡/东南南/1室1厅1卫/中楼层（5层）,义乌市,稠城,长春八街,1室1厅1卫,55,2500,东南南
整租·江南四区 1室0厅 南/北,义乌市-江东-江南四区/40.00㎡/南北/1室0厅1卫/中楼层（4层）,义乌市,江东,江南四区,1室0厅1卫,40,1100,南北
整租·东畈B区 1室0厅 南,义乌市-稠江-东畈B区/30.00㎡/南/1室0厅1卫/中楼层（5层）,义乌市,稠江,东畈B区,1室0厅1卫,30,1300,南
整租·五里松小区 1室0厅 东南/南,义乌市-稠江-五里松小区/30.00㎡/东南南/1室0厅1卫/中楼层（4层）,义乌市,稠江,五里松小区,1室0厅1卫,30,1099,东南南
整租·苏溪之心 1室1厅 东南/南,义乌市-苏溪-苏溪之心/35.00㎡/东南南/1室1厅1卫/高楼层（3层）,义乌市,苏溪,苏溪之心,1室1厅1卫,35,1650,东南南
整租·泰丰铭座公寓 1室1厅 南,婺城区-江北-泰丰铭座公寓/28.00㎡/南/1室1厅1卫/高楼层（7层）,婺城区,江北,泰丰铭座公寓,1室1厅1卫,28,1000,南
整租·当代华府 4室2厅 南,婺城区-江南-当代华府/112.00㎡/南/4室2厅1卫/高楼层（7层）,婺城区,江南,当代华府,4室2厅1卫,112,3000,南
整租·三联银座 1室1厅 南/北,婺城区-江北-三联银座/60.00㎡/南北/1室1厅1卫/高楼层（12层）,婺城区,江北,三联银座,1室1厅1卫,60,1600,南北
整租·陶界岭小区 1室0厅 西南,义乌市-义乌市-陶界岭小区/30.00㎡/西南/1室0厅1卫/中楼层（5层）,义乌市,义乌市,陶界岭小区,1室0厅1卫,30,1400,西南
整租·红星金义天铂 3室2厅 南/东北,金东区-金义都市新区-红星金义天铂/89.00㎡/南东北/3室2厅2卫/高楼层（27层）,金东区,金义都市新区,红星金义天铂,3室2厅2卫,89,600,南东北
整租·北站一区 1室0厅 东南/南,义乌市-后宅-北站一区/30.00㎡/东南南/1室0厅1卫/中楼层（5层）,义乌市,后宅,北站一区,1室0厅1卫,30,1000,东南南
整租·经发大道290号 1室1厅 东南/南/北,义乌市-稠江-经发大道290号/45.00㎡/东南南北/1室1厅1卫/低楼层（7层）,义乌市,稠江,经发大道290号,1室1厅1卫,45,2080,东南南北
整租·永盛新阳光 1室1厅 南/北,婺城区-江南-永盛新阳光/42.00㎡/南北/1室1厅1卫/低楼层（17层）,婺城区,江南,永盛新阳光,1室1厅1卫,42,1500,南北
整租·总部经济园 1室1厅 南,义乌市-稠江-总部经济园/50.00㎡/南/1室1厅1卫/低楼层（22层）,义乌市,稠江,总部经济园,1室1厅1卫,50,1900,南
整租·下门二区 1室1厅 东南/南,义乌市-稠江-下门二区/35.00㎡/东南南/1室1厅1卫/中楼层（4层）,义乌市,稠江,下门二区,1室1厅1卫,35,1999,东南南
整租·贝村小区 1室0厅 东南/南,义乌市-稠城-贝村小区/35.00㎡/东南南/1室0厅1卫/中楼层（6层）,义乌市,稠城,贝村小区,1室0厅1卫,35,1280,东南南
整租·翰文府 3室2厅 南,义乌市-北苑-翰文府/94.00㎡/南/3室2厅1卫/中楼层（11层）,义乌市,北苑,翰文府,3室2厅1卫,94,4400,南
整租·金都路 1室0厅 南,永康市-永康市-金都路/40.00㎡/南/1室0厅1卫/中楼层（5层）,永康市,永康市,金都路,1室0厅1卫,40,1100,南
整租·宾王广场 1室0厅 西南,义乌市-江东-宾王广场/40.00㎡/西南/1室0厅1卫/低楼层（30层）,义乌市,江东,宾王广场,1室0厅1卫,40,1800,西南
整租·黄杨梅一区 1室0厅 东南/南,义乌市-北苑-黄杨梅一区/25.00㎡/东南南/1室0厅1卫/高楼层（4层）,义乌市,北苑,黄杨梅一区,1室0厅1卫,25,1060,东南南
整租·大塘下新村一区 1室0厅 东北,义乌市-义乌市-大塘下新村一区/30.00㎡/东北/1室0厅1卫/中楼层（5层）,义乌市,义乌市,大塘下新村一区,1室0厅1卫,30,1199,东北
整租·金都美地 3室2厅 南/北,金东区-金东区-金都美地/110.00㎡/南北/3室2厅2卫/高楼层（24层）,金东区,金东区,金都美地,3室2厅2卫,110,2700,南北
整租·八角井小区 1室0厅 南,义乌市-稠江-八角井小区/30.00㎡/南/1室0厅1卫/中楼层（5层）,义乌市,稠江,八角井小区,1室0厅1卫,30,1200,南
整租·馨园小区 1室1厅 南,婺城区-江北-馨园小区/60.00㎡/南/1室1厅1卫/低楼层（6层）,婺城区,江北,馨园小区,1室1厅1卫,60,1500,南
整租·青口北区 1室1厅 东南,义乌市-江东-青口北区/48.00㎡/东南/1室1厅1卫/中楼层（4层）,义乌市,江东,青口北区,1室1厅1卫,48,2280,东南
整租·拥军一区 1室0厅 东南/南,义乌市-北苑-拥军一区/35.00㎡/东南南/1室0厅1卫/中楼层（4层）,义乌市,北苑,拥军一区,1室0厅1卫,35,1500,东南南
整租·宗塘二区 1室0厅 东南/南,义乌市-江东-宗塘二区/30.00㎡/东南南/1室0厅1卫/中楼层（4层）,义乌市,江东,宗塘二区,1室0厅1卫,30,1200,东南南
整租·双汇路89号 1室1厅 南,婺城区-江南-双汇路89号/40.00㎡/南/1室1厅1卫/中楼层（6层）,婺城区,江南,双汇路89号,1室1厅1卫,40,700,南
整租·春晗一区 1室0厅 南,义乌市-北苑-春晗一区/30.00㎡/南/1室0厅1卫/中楼层（5层）,义乌市,北苑,春晗一区,1室0厅1卫,30,1400,南
整租·丹溪二区 1室0厅 东南/南,义乌市-北苑-丹溪二区/32.00㎡/东南南/1室0厅1卫/中楼层（5层）,义乌市,北苑,丹溪二区,1室0厅1卫,32,1300,东南南
整租·青口东区 1室1厅 东南,义乌市-江东-青口东区/60.00㎡/东南/1室1厅1卫/高楼层（4层）,义乌市,江东,青口东区,1室1厅1卫,60,1999,东南
整租·拥军一区 1室0厅 西南,义乌市-北苑-拥军一区/42.00㎡/西南/1室0厅1卫/中楼层（4层）,义乌市,北苑,拥军一区,1室0厅1卫,42,1550,西南
整租·黄杨梅一区 2室1厅 东南,义乌市-北苑-黄杨梅一区/55.00㎡/东南/2室1厅1卫/高楼层（4层）,义乌市,北苑,黄杨梅一区,2室1厅1卫,55,2300,东南
整租·宝龙公寓 1室0厅 南,永康市-永康市-宝龙公寓/43.00㎡/南/1室0厅1卫/低楼层（25层）,永康市,永康市,宝龙公寓,1室0厅1卫,43,1700,南
整租·春晗二区 1室0厅 东南/南,义乌市-北苑-春晗二区/30.00㎡/东南南/1室0厅1卫/中楼层（5层）,义乌市,北苑,春晗二区,1室0厅1卫,30,1399,东南南
整租·宗塘一区 1室0厅 南,义乌市-江东-宗塘一区/30.00㎡/南/1室0厅1卫/高楼层（4层）,义乌市,江东,宗塘一区,1室0厅1卫,30,1250,南
整租·柳青八区 1室0厅 南/西南,义乌市-北苑-柳青八区/30.00㎡/南西南/1室0厅1卫/中楼层（5层）,义乌市,北苑,柳青八区,1室0厅1卫,30,1280,南西南
整租·春晗三区 1室1厅 东南/南,义乌市-北苑-春晗三区/45.00㎡/东南南/1室1厅1卫/中楼层（5层）,义乌市,北苑,春晗三区,1室1厅1卫,45,1450,东南南
整租·沙洲豪庭 3室2厅 东南/南,义乌市-苏溪-沙洲豪庭/140.00㎡/东南南/3室2厅2卫/中楼层（18层）,义乌市,苏溪,沙洲豪庭,3室2厅2卫,140,3500,东南南
整租·南龙公寓 1室1厅 南,永康市-永康市-南龙公寓/60.00㎡/南/1室1厅1卫/低楼层（16层）,永康市,永康市,南龙公寓,1室1厅1卫,60,1500,南
整租·浙江四方集团公司职工住宅 2室1厅 南/北,永康市-永康市-浙江四方集团公司职工住宅/100.00㎡/南北/2室1厅1卫/中楼层（10层）,永康市,永康市,浙江四方集团公司职工住宅,2室1厅1卫,100,1300,南北
整租·楼下新村一区 1室0厅 东南/南,义乌市-稠江-楼下新村一区/35.00㎡/东南南/1室0厅1卫/中楼层（5层）,义乌市,稠江,楼下新村一区,1室0厅1卫,35,1350,东南南
整租·拥军三区 1室0厅 东南/南,义乌市-北苑-拥军三区/35.00㎡/东南南/1室0厅1卫/中楼层（4层）,义乌市,北苑,拥军三区,1室0厅1卫,35,1350,东南南
整租·金厦银湖城 3室2厅 南/北,婺城区-婺城新区-金厦银湖城/89.00㎡/南北/3室2厅1卫/低楼层（7层）,婺城区,婺城新区,金厦银湖城,3室2厅1卫,89,1700,南北
整租·河畔家园 1室1厅 南,义乌市-北苑-河畔家园/42.00㎡/南/1室1厅1卫/中楼层（5层）,义乌市,北苑,河畔家园,1室1厅1卫,42,2580,南
整租·杨三村 1室1厅 东南/南,义乌市-稠江-杨三村/40.00㎡/东南南/1室1厅1卫/中楼层（5层）,义乌市,稠江,杨三村,1室1厅1卫,40,1580,东南南
整租·湖塘月色 4室2厅 南,婺城区-湖海塘-湖塘月色/130.00㎡/南/4室2厅2卫/低楼层（16层）,婺城区,湖海塘,湖塘月色,4室2厅2卫,130,3500,南
整租·西田畈新村 1室0厅 东南/南,义乌市-廿三里-西田畈新村/35.00㎡/东南南/1室0厅1卫/中楼层（4层）,义乌市,廿三里,西田畈新村,1室0厅1卫,35,1380,东南南
整租·泰地国际名座 1室1厅 南,婺城区-江南-泰地国际名座/50.00㎡/南/1室1厅1卫/中楼层（28层）,婺城区,江南,泰地国际名座,1室1厅1卫,50,1000,南
整租·下朱宅A区 1室0厅 东南/南/北,义乌市-廿三里-下朱宅A区/35.00㎡/东南南北/1室0厅1卫/高楼层（4层）,义乌市,廿三里,下朱宅A区,1室0厅1卫,35,1300,东南南北
整租·留雅小区 1室0厅 南,义乌市-北苑-留雅小区/30.00㎡/南/1室0厅1卫/高楼层（3层）,义乌市,北苑,留雅小区,1室0厅1卫,30,1200,南
整租·紫荆庄园 2室1厅 东南,东阳市-东阳市-紫荆庄园/60.00㎡/东南/2室1厅1卫/中楼层（29层）,东阳市,东阳市,紫荆庄园,2室1厅1卫,60,1750,东南
整租·北站三区 1室0厅 西南,义乌市-后宅-北站三区/28.00㎡/西南/1室0厅1卫/中楼层（5层）,义乌市,后宅,北站三区,1室0厅1卫,28,1000,西南
整租·永盛新阳光 1室1厅 南,婺城区-江南-永盛新阳光/28.00㎡/南/1室1厅1卫/低楼层（17层）,婺城区,江南,永盛新阳光,1室1厅1卫,28,750,南
整租·福田一区 1室1厅 东南/南,义乌市-稠城-福田一区/45.00㎡/东南南/1室1厅1卫/中楼层（6层）,义乌市,稠城,福田一区,1室1厅1卫,45,2680,东南南
整租·怡景园东区 1室1厅 北,婺城区-江北-怡景园东区/46.00㎡/北/1室1厅1卫/低楼层（12层）,婺城区,江北,怡景园东区,1室1厅1卫,46,1250,北
整租·和聚园 2室1厅 南,义乌市-北苑-和聚园/72.00㎡/南/2室1厅1卫/低楼层（15层）,义乌市,北苑,和聚园,2室1厅1卫,72,2916,南
整租·银海一区 2室1厅 东南/南,义乌市-稠城-银海一区/60.00㎡/东南南/2室1厅1卫/中楼层（4层）,义乌市,稠城,银海一区,2室1厅1卫,60,2500,东南南
整租·黎明三区 1室0厅 南,义乌市-稠江-黎明三区/28.00㎡/南/1室0厅1卫/中楼层（5层）,义乌市,稠江,黎明三区,1室0厅1卫,28,1100,南
整租·江滨小区 2室1厅 南/北,婺城区-江南-江滨小区/70.00㎡/南北/2室1厅1卫/高楼层（6层）,婺城区,江南,江滨小区,2室1厅1卫,70,1500,南北
整租·永盛新阳光 1室1厅 南/北,婺城区-江南-永盛新阳光/29.00㎡/南北/1室1厅1卫/低楼层（17层）,婺城区,江南,永盛新阳光,1室1厅1卫,29,800,南北
整租·金华万达广场SOHO 2室1厅 南/西,金东区-金东区-金华万达广场SOHO/60.00㎡/南西/2室1厅1卫/中楼层（30层）,金东区,金东区,金华万达广场SOHO,2室1厅1卫,60,1350,南西
整租·青山四弄 2室1厅 南,婺城区-江北-青山四弄/63.34㎡/南/2室1厅1卫/低楼层（3层）,婺城区,江北,青山四弄,2室1厅1卫,63,1300,南
整租·城南路 1室0厅 南/北,永康市-永康市-城南路/30.00㎡/南北/1室0厅1卫/中楼层（5层）,永康市,永康市,城南路,1室0厅1卫,30,850,南北
整租·复兴一区 1室1厅 南,义乌市-北苑-复兴一区/50.00㎡/南/1室1厅1卫/中楼层（4层）,义乌市,北苑,复兴一区,1室1厅1卫,50,2280,南
整租·稠山一区 1室0厅 东南/南,义乌市-北苑-稠山一区/35.00㎡/东南南/1室0厅1卫/中楼层（5层）,义乌市,北苑,稠山一区,1室0厅1卫,35,1350,东南南
整租·云都公寓 1室1厅 南,婺城区-江南-云都公寓/43.00㎡/南/1室1厅1卫/高楼层（11层）,婺城区,江南,云都公寓,1室1厅1卫,43,1400,南
整租·青溪小区 1室0厅 东南/南,义乌市-北苑-青溪小区/45.00㎡/东南南/1室0厅1卫/中楼层（5层）,义乌市,北苑,青溪小区,1室0厅1卫,45,1400,东南南
整租·莲塘三区 1室0厅 东南/南,义乌市-北苑-莲塘三区/30.00㎡/东南南/1室0厅1卫/中楼层（5层）,义乌市,北苑,莲塘三区,1室0厅1卫,30,1200,东南南
整租·总部经济园 2室1厅 南,义乌市-稠江-总部经济园/70.00㎡/南/2室1厅1卫/中楼层（12层）,义乌市,稠江,总部经济园,2室1厅1卫,70,2800,南
整租·城西路 1室0厅 东/西,永康市-永康市-城西路/25.00㎡/东西/1室0厅1卫/高楼层（6层）,永康市,永康市,城西路,1室0厅1卫,25,800,东西
整租·厚富小区南区 1室0厅 东南/南/北,义乌市-北苑-厚富小区南区/30.00㎡/东南南北/1室0厅1卫/中楼层（5层）,义乌市,北苑,厚富小区南区,1室0厅1卫,30,1300,东南南北
整租·聚佳美丽园 1室0厅 南,金东区-金东区-聚佳美丽园/35.00㎡/南/1室0厅1卫/低楼层（18层）,金东区,金东区,聚佳美丽园,1室0厅1卫,35,1000,南
整租·金都美地 2室2厅 南,金东区-金东区-金都美地/90.00㎡/南/2室2厅1卫/高楼层（18层）,金东区,金东区,金都美地,2室2厅1卫,90,2300,南
整租·嘉华佳园 3室2厅 南,金东区-金东区-嘉华佳园/128.00㎡/南/3室2厅2卫/低楼层（11层）,金东区,金东区,嘉华佳园,3室2厅2卫,128,2000,南
整租·融创晓郡花园一期 3室2厅 南,金东区-金东区-融创晓郡花园一期/89.00㎡/南/3室2厅2卫/低楼层（18层）,金东区,金东区,融创晓郡花园一期,3室2厅2卫,89,2500,南
整租·四季春城 2室1厅 南,金东区-金东区-四季春城/145.00㎡/南/2室1厅2卫/高楼层（18层）,金东区,金东区,四季春城,2室1厅2卫,145,2170,南
整租·万固·东方樾 1室1厅 南,金东区-金东区-万固·东方樾/53.00㎡/南/1室1厅1卫/中楼层（13层）,金东区,金东区,万固·东方樾,1室1厅1卫,53,1400,南
整租·华顺苑 5室2厅 南/北,金东区-金东区-华顺苑/196.00㎡/南北/5室2厅3卫/高楼层（7层）,金东区,金东区,华顺苑,5室2厅3卫,196,1734,南北
整租·金都美地 2室2厅 南/北,金东区-金东区-金都美地/90.00㎡/南北/2室2厅1卫/中楼层（18层）,金东区,金东区,金都美地,2室2厅1卫,90,2400,南北
整租·百合嘉苑 1室1厅 南/北,婺城区-江南-百合嘉苑/40.00㎡/南北/1室1厅1卫/低楼层（15层）,婺城区,江南,百合嘉苑,1室1厅1卫,40,1580,南北
整租·永盛新阳光 2室2厅 南,婺城区-江南-永盛新阳光/80.00㎡/南/2室2厅1卫/中楼层（17层）,婺城区,江南,永盛新阳光,2室2厅1卫,80,1200,南
整租·南苑小区 1室1厅 南,婺城区-江南-南苑小区/41.00㎡/南/1室1厅1卫/高楼层（7层）,婺城区,江南,南苑小区,1室1厅1卫,41,1400,南
整租·和信花园 3室2厅 南/北,婺城区-江南-和信花园/136.20㎡/南北/3室2厅2卫/高楼层（6层）,婺城区,江南,和信花园,3室2厅2卫,136,2000,南北
整租·保利·天汇 4室2厅 南/北,婺城区-江北-保利·天汇/118.00㎡/南北/4室2厅2卫/中楼层（18层）,婺城区,江北,保利·天汇,4室2厅2卫,118,3800,南北
整租·广厦大众苑 2室2厅 南,婺城区-江北-广厦大众苑/63.00㎡/南/2室2厅1卫/高楼层（16层）,婺城区,江北,广厦大众苑,2室2厅1卫,63,1500,南
整租·北苑小区(婺城区) 2室2厅 南,婺城区-江北-北苑小区(婺城区)/71.00㎡/南/2室2厅1卫/低楼层（6层）,婺城区,江北,北苑小区(婺城区),2室2厅1卫,71,2200,南
整租·和谐家苑 3室2厅 南,婺城区-江北-和谐家苑/170.00㎡/南/3室2厅2卫/中楼层（11层）,婺城区,江北,和谐家苑,3室2厅2卫,170,2200,南
整租·东方前城南区 3室2厅 南/北,婺城区-江北-东方前城南区/170.00㎡/南北/3室2厅2卫/高楼层（12层）,婺城区,江北,东方前城南区,3室2厅2卫,170,2500,南北
整租·万固西江月 3室1厅 南,婺城区-婺城新区-万固西江月/89.00㎡/南/3室1厅2卫/高楼层（13层）,婺城区,婺城新区,万固西江月,3室1厅2卫,89,800,南
整租·白龙桥镇工业街 2室2厅 南/北,婺城区-婺城新区-白龙桥镇工业街/100.00㎡/南北/2室2厅1卫/高楼层（4层）,婺城区,婺城新区,白龙桥镇工业街,2室2厅1卫,100,1200,南北
整租·万固西江月 2室2厅 南/北,婺城区-婺城新区-万固西江月/70.00㎡/南北/2室2厅1卫/中楼层（13层）,婺城区,婺城新区,万固西江月,2室2厅1卫,70,650,南北
整租·蓝天嘉苑 3室2厅 南/北,金东区-多湖-蓝天嘉苑/133.00㎡/南北/3室2厅2卫/高楼层（7层）,金东区,多湖,蓝天嘉苑,3室2厅2卫,133,2860,南北
整租·三江国际花园 3室2厅 南/北,金东区-多湖-三江国际花园/133.00㎡/南北/3室2厅2卫/低楼层（9层）,金东区,多湖,三江国际花园,3室2厅2卫,133,3400,南北
整租·中港浅水湾 3室2厅 南/北,婺城区-多湖-中港浅水湾/125.00㎡/南北/3室2厅2卫/中楼层（17层）,婺城区,多湖,中港浅水湾,3室2厅2卫,125,2800,南北
整租·三江国际花园 3室2厅 南/北,金东区-多湖-三江国际花园/130.00㎡/南北/3室2厅2卫/中楼层（11层）,金东区,多湖,三江国际花园,3室2厅2卫,130,2200,南北
整租·万达广场4号甲级写字楼 3室2厅 东,金东区-多湖-万达广场4号甲级写字楼/85.00㎡/东/3室2厅1卫/低楼层（25层）,金东区,多湖,万达广场4号甲级写字楼,3室2厅1卫,85,4200,东
整租·三江国际花园 3室2厅 南/北,金东区-多湖-三江国际花园/125.00㎡/南北/3室2厅2卫/高楼层（15层）,金东区,多湖,三江国际花园,3室2厅2卫,125,3800,南北
整租·三江国际花园 2室2厅 南,金东区-多湖-三江国际花园/99.00㎡/南/2室2厅1卫/中楼层（15层）,金东区,多湖,三江国际花园,2室2厅1卫,99,2800,南
整租·浙中总部经济中心 2室1厅 南,金东区-多湖-浙中总部经济中心/66.00㎡/南/2室1厅1卫/中楼层（16层）,金东区,多湖,浙中总部经济中心,2室1厅1卫,66,2700,南
